Player,Position
Erling Haaland,Forward
Cole Palmer,Midfielder
Alexander Isak,Forward
Ollie Watkins,Forward
Phil Foden,Midfielder
Dominic Solanke,Forward
Mohamed Salah,Forward
Heung-Min Son,Forward
Jarrod Bowen,Forward
Jean-Philippe Mateta,Forward
Bukayo Saka,Forward
Chris Wood,Forward
Nicolas Jackson,Forward
Kai Havertz,Forward
Leandro Trossard,Forward
Yoane Wissa,Forward
Hee-Chan Hwang,Forward
Matheus Cunha,Forward
Darwin Nunez,Forward
Richarlison,Forward
Anthony Gordon,Forward
Eberechi Eze,Midfielder
Julián Álvarez,Forward
Carlton Morris,Forward
Diogo Jota,Forward
Elijah Adebayo,Forward
Leon Bailey,Forward
Rasmus Højlund,Forward
Michael Olise,Forward
Bruno Fernandes,Midfielder
Rodrigo Muniz,Forward
Callum Wilson,Forward
Bryan Mbeumo,Forward
Douglas Luiz,Midfielder
Joao Pedro,Forward
Antoine Semenyo,Forward
Callum Hudson-Odoi,Forward
Cody Gakpo,Forward
Dejan Kulusevski,Midfielder
Luis Diaz,Forward
Mohammed Kudus,Midfielder
Raheem Sterling,Forward
Rodri,Midfielder
Martin Ødegaard,Midfielder
Abdoulaye Doucouré,Midfielder
Alejandro Garnacho,Forward
Bruno Guimaraes,Midfielder
Declan Rice,Midfielder
Justin Kluivert,Forward
Odsonne Edouard,Forward
Raul Jiménez,Forward
Scott McTominay,Midfielder
Tomas Soucek,Midfielder
Dominic Calvert-Lewin,Forward
James Ward-Prowse,Midfielder
Marcus Rashford,Forward
Bernardo Silva,Midfielder
Bobby Reid,Midfielder
Evan Ferguson,Forward
Gabriel Martinelli,Forward
John McGinn,Midfielder
Michail Antonio,Forward
Moussa Diaby,Forward
Neal Maupay,Forward
Sean Longstaff,Midfielder
Simon Adingra,Forward
Taiwo Awoniyi,Forward
Ben Brereton Diaz,Forward
Jacob Bruun Larsen,Forward
Oliver McBurnie,Forward
Alex Iwobi,Midfielder
Anthony Elanga,Forward
Brennan Johnson,Forward
Conor Gallagher,Midfielder
Cristian Romero,Defender
Danny Welbeck,Forward
Edward Nketiah,Forward
Harvey Barnes,Forward
Jhon Duran,Forward
Lyle Foster,Forward
Mykhaylo Mudryk,Forward
Ross Barkley,Midfielder
Alexis Mac Allister,Midfielder
Morgan Gibbs-White,Midfielder
Noni Madueke,Forward
Zeki Amdouni,Forward
Ben White,Defender
Cameron Archer,Forward
Chiedozie Ogbene,Forward
David Datro Fofana,Forward
Fabian Schär,Defender
Gabriel,Defender
Gabriel Jesus,Forward
Gustavo Hamer,Midfielder
Harry Wilson,Midfielder
Idrissa Gana Gueye,Midfielder
Ivan Toney,Forward
James Maddison,Midfielder
Joao Palhinha,Midfielder
Jordan Ayew,Forward
Josh Brownhill,Midfielder
Josko Gvardiol,Defender
Kevin De Bruyne,Midfielder
Marcos Senesi,Defender
Mario Lemina,Midfielder
Tahith Chong,Forward
Pascal Gross,Midfielder
Lucas Paquetá,Midfielder
Pablo Sarabia,Midfielder
Willian,Midfielder
Andreas Pereira,Midfielder
Andrew Robertson,Defender
Beto,Forward
Christopher Nkunku,Forward
Dara O'Shea,Defender
Dominik Szoboszlai,Midfielder
Dwight McNeil,Midfielder
Facundo Buonanotte,Midfielder
Harvey Elliott,Midfielder
Jack Grealish,Midfielder
Jack Harrison,Forward
Jack Hinshelwood,Midfielder
Jacob Murphy,Forward
Jarrad Branthwaite,Defender
Jayden Bogle,Defender
Jérémy Doku,Forward
Kaoru Mitoma,Forward
Keane Lewis-Potter,Forward
Kobbie Mainoo,Midfielder
Kurt Zouma,Defender
Lewis Dunk,Defender
Marcus Tavernier,Midfielder
Mathias Jensen,Midfielder
Micky van de Ven,Defender
Miguel Almiron,Midfielder
Morgan Rogers,Midfielder
Pape Sarr,Midfielder
Pedro Porro,Defender
Solly March,Forward
Thiago Silva,Defender
Trent Alexander-Arnold,Defender
Wilson Odobert,Forward
Enzo Fernández,Midfielder
James McAtee,Midfielder
Adama Traoré,Forward
Álex Moreno,Defender
Alfie Doughty,Defender
Amadou Onana,Midfielder
Anel Ahmedhodzic,Defender
Ansu Fati,Forward
Axel Disasi,Defender
Ben Mee,Defender
Carlos Vinicius,Forward
Christian Nørgaard,Midfielder
Daniel Burn,Defender
Danilo,Midfielder
Destiny Udogie,Defender
Diogo Dalot,Defender
Enes Ünal,Forward
Ethan Pinnock,Defender
Gabriel Osho,Defender
Giovani Lo Celso,Midfielder
Harry Maguire,Defender
Jacob Brown,Forward
Jarell Quansah,Defender
Jean-Ricner Bellegarde,Midfielder
Jeffrey Schlupp,Midfielder
Joachim Andersen,Defender
Joao Gomes,Midfielder
Joelinton,Midfielder
Josh Cullen,Midfielder
Kevin Schade,Forward
Kristoffer Vassbakk Ajer,Defender
Luis Sinisterra,Forward
Luke Berry,Midfielder
Manuel Akanji,Defender
Matty Cash,Defender
Max Kilman,Defender
Nathan Aké,Defender
Nicolás Dominguez,Midfielder
Nicolo Zaniolo,Midfielder
Pau Torres,Defender
Pedro Neto,Forward
Pervis Estupinán,Defender
Philip Billing,Midfielder
Rayan Ait Nouri,Defender
Rico Lewis,Defender
Sasa Kalajdzic,Forward
Sven Botman,Defender
Takehiro Tomiyasu,Defender
Timo Werner,Forward
Tosin Adarabioyo,Defender
Tyrick Mitchell,Defender
Virgil van Dijk,Defender
Vitalii Mykolenko,Defender
William Saliba,Defender
Willy Boly,Defender
Youri Tielemans,Midfielder
Jay Rodriguez,Forward
Albert Sambi Lokonga,Midfielder
Alejo Veliz,Forward
Alex Scott,Midfielder
Alfie Gilchrist,Defender
Amad Diallo,Forward
Ameen Al Dakhil,Defender
André Gomes,Midfielder
Andros Townsend,Forward
Anthony Martial,Forward
Antony,Forward
Armando Broja,Forward
Arnaut Danjuma,Forward
Ben Davies,Defender
Calvin Bassey,Defender
Carney Chukwuemeka,Midfielder
Casemiro,Midfielder
Cauley Woodrow,Forward
Charlie Taylor,Defender
Chris Richards,Defender
Christian Eriksen,Midfielder
Conor Bradley,Defender
Craig Dawson,Defender
Curtis Jones,Midfielder
Dango Ouattara,Forward
Danny Ings,Forward
David Brooks,Midfielder
Edson Álvarez,Midfielder
Emerson,Defender
Emerson Royal,Defender
Ezri Konsa,Defender
Frank Onyeka,Midfielder
George Earthy,Forward
Hannibal Mejbri,Midfielder
Harry Toffolo,Defender
Illia Zabarnyi,Defender
Jack Robinson,Defender
